Instrument,Date,Volume (total),Open Interest (total),Open Interest change,Settlement Price,Settlement Change,Settlement % Chg,Delta RTH,Signal,Contract,Session Open
CL,25/08/2026,757809,1906740,-3644,82.36,-2.65,-0.031173,-0.031401,Bearish,CL OCT26,85.03
ES,25/08/2026,1002413,2045669,5533,7692,22.25,0.002901,0.002084,Sideways,ES SEP26,7676
GC,25/08/2026,210909,427957,1269,4694.5,-3.3,-0.000702,-0.003312,Sideways,GC DEC26,4710.1
NQ,25/08/2026,487902,301987,-448,29276.75,171,0.005875,0.004676,Sideways,NQ SEP26,29140.5
SI,25/08/2026,85355,113801,-1722,69.47,0.089,0.001283,-0.004371,Sideways,SI DEC26,69.775
YM,25/08/2026,53574,88454,-529,53645,156,0.002916,0.002261,Sideways,YM SEP26,53524
CL,26/08/2026,607148,1909072,2332,82.23,-0.13,-0.001578,0.013808,Sideways,CL OCT26,81.11
ES,26/08/2026,1082619,2044232,-1437,7690,-2,-0.000260,-0.000195,Sideways,ES SEP26,7691.5
GC,26/08/2026,187113,426623,-1334,4653.3,-41.2,-0.008776,-0.013232,Sideways,GC DEC26,4715.7
NQ,26/08/2026,456852,302512,525,29289.5,12.75,0.000435,0.000051,Sideways,NQ SEP26,29288
SI,26/08/2026,92161,110132,-3669,68.819,-0.651,-0.009371,-0.009870,Sideways,SI DEC26,69.505
YM,26/08/2026,44980,88258,-196,53521,-124,-0.002311,-0.002274,Sideways,YM SEP26,53643
CL,27/08/2026,619133,1911154,2082,83.53,1.3,0.015809,0.018659,Bullish,CL OCT26,82
ES,27/08/2026,1338959,2048094,3862,7742.5,52.5,0.006827,0.002655,Bullish,ES SEP26,7722
GC,27/08/2026,177211,428998,2375,4664,10.7,0.002299,0.003011,Sideways,GC DEC26,4650
NQ,27/08/2026,570307,303796,1284,29695.75,406.25,0.013870,0.006653,Bullish,NQ SEP26,29499.5
SI,27/08/2026,81697,109549,-583,70.239,1.42,0.020634,0.019730,Bullish,SI DEC26,68.88
YM,27/08/2026,57347,88040,-218,53621,100,0.001868,-0.001917,Sideways,YM SEP26,53724
CL,28/08/2026,441192,1895914,-15240,83.4,-0.13,-0.001556,-0.003227,Sideways,CL OCT26,83.67
ES,28/08/2026,1519107,2043516,-4578,7722,-20.5,-0.002648,-0.001519,Sideways,ES SEP26,7733.75
GC,28/08/2026,324775,422768,-6230,4529.9,-134.1,-0.028752,-0.027083,Bearish,GC DEC26,4656
NQ,28/08/2026,583592,300031,-3765,29491.75,-204,-0.006870,-0.004851,Sideways,NQ SEP26,29635.5
SI,28/08/2026,100475,108284,-1265,67.786,-2.453,-0.034924,-0.032251,Bearish,SI DEC26,70.045
YM,28/08/2026,57927,87344,-696,53584,-37,-0.000690,-0.000448,Sideways,YM SEP26,53608
CL,31/08/2026,652448,1895459,-455,85.76,2.36,0.028297,0.012634,Bullish,CL OCT26,84.69
ES,31/08/2026,1239780,2039492,-4024,7699,-23,-0.002979,-0.003172,Sideways,ES SEP26,7723.5
GC,31/08/2026,174947,419328,-3440,4481.5,-48.4,-0.010685,-0.000379,Sideways,GC DEC26,4483.2
NQ,31/08/2026,469171,299703,-328,29513,21.25,0.000721,-0.000914,Sideways,NQ SEP26,29540
SI,31/08/2026,43776,104394,-3890,66.99,-0.796,-0.011743,0.002844,Sideways,SI DEC26,66.8
YM,31/08/2026,56108,87531,187,53240,-344,-0.006420,-0.007901,Bearish,YM SEP26,53664
CL,01/09/2026,959726,1921085,25626,90.22,4.46,0.052006,0.045302,Bullish,CL OCT26,86.31
ES,01/09/2026,1599717,2046914,7422,7642.75,-56.25,-0.007306,-0.007596,Bearish,ES SEP26,7701.25
GC,01/09/2026,220552,415196,-4132,4396.4,-85.1,-0.018989,-0.022740,Bearish,GC DEC26,4498.7
NQ,01/09/2026,555510,300140,437,29125.5,-387.5,-0.013130,-0.013305,Bearish,NQ SEP26,29518.25
SI,01/09/2026,58328,104362,-32,65.369,-1.621,-0.024198,-0.028331,Bearish,SI DEC26,67.275
YM,01/09/2026,75861,86927,-604,52828,-412,-0.007739,-0.008093,Sideways,YM SEP26,53259
